Sex,Specimen
Male,USNM395636
Male,USNM396934
Female,USNM396935
Female,USNM396936
Female,USNM396937
Unknown,USNM396938
Male,USNM396942
Male,USNM397351
Male,USNM397352
Female,USNM397353
Unknown,USNM397354
Female,USNM397355
Female,USNM397356
Female,USNM397357
Male,USNM397358
Male,USNM397359
Unknown,USNM397360
Unknown,USNM397361
Unknown,USNM397362
Unknown,USNM397363
Female,USNM397364
Unknown,USNM397365
Unknown,USNM398409
Male,USNM239883
Male,USNM239884
Female,USNM241232
Male,USNM241233
Female,USNM252617
Female,USNM545026
Female,USNM545027
Male,USNM545028
Female,USNM545029
Female,USNM545030
Female,USNM545031
Male,USNM545032
Male,USNM545033
Male,USNM545034
Male,USNM545035
Male,USNM545036
Male,USNM545037
Female,USNM545038
Male,USNM545039
Male,USNM545040
Male,USNM545041
Female,USNM545042
Female,USNM545043
Male,USNM545044
Female,USNM545045
Female,USNM545046
Female,USNM545047
Male,USNM545048
Male,USNM257504
Female,USNM260582
Female : Adult,USNM586541
Female,USNM590942
Male,USNM590943
Male,USNM590944
Male,USNM590945
Female,USNM590946
Female,USNM590947
Female,USNM590948
Female,USNM590949
Male,USNM590950
Female,USNM590951
Female,USNM590952
Male,USNM590953
Male :  : verbatim sex = 'M?',USNM590954
Male,USNM590955
Female,USNM590956
Female,USNM590957
Male,USNM590958
Male,USNM590959
Male,USNM590960
Female,USNM590961
Unknown :  : verbatim sex = 'F or SA M',USNM590962
Female :  : verbatim sex = 'F?',USNM590963
Female :  : verbatim sex = 'F?',USNM590964
Female,USNM590965
Female,USNM590966
Male,USNM590967
Male,USNM590968
Male,USNM590969
Male,USNM590970
Male,USNM176211
Male,USNM574138
Female,USNM579247
Male : Immature,USNM154553
Male : Young adult,USNM154554
Female,USNM174697
Female,USNM174698
Female,USNM174705
Male,USNM174711
Male,USNM174712
Male,USNM174713
Male,USNM174714
Male,USNM174715
Male,USNM174716
Male : Adult,USNM174717
Unknown,USNM174718
Male,USNM174719
Male,USNM174720
Male,USNM174722
Unknown,USNM174723
Unknown,USNM174724
Male,USNM176205
Male,USNM176206
Male,USNM176207
Male,USNM176208
Male,USNM176209
Male,USNM176210
Male,USNM176213
Male :  : juvenile,USNM176214
Male,USNM176215
Male,USNM176216
Male,USNM176217
Female,USNM176218
Male,USNM176219
Male,USNM176220
Female,USNM176221
Male,USNM176222
Male,USNM176223
Male,USNM176224
Male,USNM176225
Male,USNM197037
Female,USNM220060
Unknown,USNM220061
Male,USNM220324
Male,USNM220325
Female,USNM220380
Female,USNM252575
Female,USNM252576
Female,USNM252577
Male,USNM252578
Female,USNM252579
Female,USNM252580
Female,USNM252581
Female,USNM252582
Female,USNM271347
Male,USNM297857
Unknown,USNM497150
Unknown,USNM497151
"Male : Adult : Genitalia appears to be female (no nipples, no penis)",USNM498378
Unknown,USNMA 3646
Unknown,USNMA 12288
Male,USNM398214
Unknown,USNM583458
Female : Adult,USNM583459
Female : Adult,USNM583460
Male : Young,USNM583461
Unknown : Young,USNM583462
